"","CALENDAR_DT","Number1","Number2","Number3","Number4"
"1","2020-03-08",0,0,1,1
"2","2020-03-09",0,0,0,1
"3","2020-03-10",0,2,1,3
"4","2020-03-12",0,3,1,4
"5","2020-03-13",0,3,1,4
"6","2020-03-14",0,0,0,2
"7","2020-03-15",0,0,0,6
"8","2020-03-16",0,7,3,10
"9","2020-03-17",0,5,5,10
"10","2020-03-18",0,14,6,20
"11","2020-03-19",2,18,6,26
"12","2020-03-20",0,13,9,22
"13","2020-03-21",1,20,8,29
"14","2020-03-22",0,30,8,38
"15","2020-03-23",0,19,19,38
"16","2020-03-24",0,33,25,58
"17","2020-03-25",0,33,15,48
"18","2020-03-26",1,41,26,68
"19","2020-03-27",0,50,31,81
"20","2020-03-28",0,49,20,69
"21","2020-03-29",2,42,29,73
"22","2020-03-30",2,69,35,106
"23","2020-03-31",0,61,30,91
"24","2020-04-01",1,50,22,73
"25","2020-04-02",0,47,37,84
